size_sq_ft,propertyType,bedrooms,latitude,longitude,localityName,suburbName,companyName,closest_metro_station_km,AP_dist_km,Aiims_dist_km,NDRLW_dist_km,price
400,Independent Floor,1,28.64101028,77.28438568,Swasthya Vihar,East Delhi,Other,0.577495488,21.74118752,11.11923914,6.227231356,9000
1050,Apartment,2,28.5949688,77.29866791,mayur vihar phase 1,East Delhi,Other,0.417142283,21.4018558,9.419060661,9.217502436,20000
2250,Independent Floor,2,28.64180565,77.29392242,Swasthya Vihar,East Delhi,Other,0.125136043,22.62036521,11.82948608,7.159183714,28000
1350,Independent Floor,2,28.6443634,77.29322815,Krishna Nagar,East Delhi,Other,0.371709423,22.68120051,11.98270775,7.097348423,28000
450,Apartment,2,28.5947361,77.3111496,New Ashok Nagar,East Delhi,Other,1.08775952,22.59280977,10.57157326,10.26327085,12500
600,Independent House,2,28.59246445,77.30516052,New Ashok Nagar,East Delhi,Other,0.523298135,21.9695912,9.938008331,9.899588912,10000
600,Independent Floor,2,28.59350014,77.30554962,New Ashok Nagar,East Delhi,Other,0.636752085,22.02887119,10.00771113,9.868724529,12000
900,Independent Floor,2,28.60354614,77.29105377,mayur vihar phase 1,East Delhi,Other,0.214677919,20.89777122,9.102314144,8.075549178,15500
680,Independent Floor,2,28.60411072,77.2895813,mayur vihar phase 1,East Delhi,Other,0.074325684,20.77491671,9.002173536,7.920125046,13000
360,Independent Floor,1,28.59085655,77.30525208,New Ashok Nagar,East Delhi,Other,0.412997235,21.94548774,9.897297029,10.00637131,8500
700,Independent Floor,2,28.65325928,77.3010788,Anand Vihar,East Delhi,Other,0.524195567,23.80842309,13.22527547,7.962189225,11000
1000,Independent House,2,28.63734245,77.2937088,Preet Vihar,East Delhi,Other,0.467277374,22.39552141,11.47238028,7.154757002,14000
1080,Independent Floor,3,28.70030022,77.27118683,Shahdara,East Delhi,Other,1.229942032,24.33776798,16.03515828,8.156833222,15000
3000,Independent Floor,3,28.67783928,77.27918243,Shahdara,East Delhi,Other,0.65312851,23.39871677,14.14229062,6.980470831,100000
450,Independent House,1,28.60077286,77.29862213,mayur vihar phase 1,East Delhi,Other,0.559761989,21.53961821,9.646572918,8.86800763,9500
500,Independent House,1,28.62866592,77.28993988,Mandawali,East Delhi,Other,1.005940563,21.67958087,10.55762254,6.92260956,15000
1000,Independent Floor,2,28.64483261,77.28631592,Krishna Nagar,East Delhi,Other,0.831310727,22.09847668,11.56033599,6.424759565,16000
390,Independent House,1,28.59199524,77.30540466,New Ashok Nagar,East Delhi,Other,0.502220971,21.98330633,9.946231371,9.948235464,8500
1200,Independent Floor,1,28.60893822,77.29997253,mayur vihar phase 1,East Delhi,Other,0.365066855,21.89726009,10.1506848,8.56015338,6500
800,Independent House,2,28.62464523,77.29869843,Mandawali,East Delhi,Other,0.559762639,22.31753828,10.95716369,7.857494536,22000
1700,Apartment,3,28.61636162,77.29469299,Mayur Vihar II,East Delhi,Other,1.112507056,21.64491403,10.11610995,7.76125436,31000
